"Konto";"Kontobezeichnung";"Datum";"Belegnummer";"Text";"Gegenkonto";"Soll";"Haben";"Steuer";"Steuerkonto"
"320";"Pkw";"31.01.2026";"1";"mtl. AfA: Mercedes 1, 1";"4832";"0,00";"534,83";"0,00";""
"320";"Pkw";"31.01.2026";"3";"mtl. AfA: Mercedes 2, 3";"4832";"0,00";"888,75";"0,00";""
"320";"Pkw";"28.02.2026";"1";"mtl. AfA: Mercedes 1, 1";"4832";"0,00";"534,83";"0,00";""
"320";"Pkw";"28.02.2026";"3";"mtl. AfA: Mercedes 2, 3";"4832";"0,00";"888,75";"0,00";""
"320";"Pkw";"31.03.2026";"1";"mtl. AfA: Mercedes 1, 1";"4832";"0,00";"534,83";"0,00";""
"320";"Pkw";"31.03.2026";"3";"mtl. AfA: Mercedes 2, 3";"4832";"0,00";"888,75";"0,00";""
"320";"Pkw";"30.04.2026";"1";"mtl. AfA: Mercedes 1, 1";"4832";"0,00";"534,83";"0,00";""
"320";"Pkw";"30.04.2026";"3";"mtl. AfA: Mercedes 2, 3";"4832";"0,00";"888,75";"0,00";""
"320";"Pkw";"05.05.2026";"";"MERCEDES-BENZ AG/SCHLOSSSTR. 39/DUESSELDORF/DE 30.04.2026 um 16:34:53 Uhr 65022248/082931/ECTL/NPIN 37062600/4041097014/0/1227 REF 261493/260046";"1201";"927,12";"0,00";"19,00";"1576"
"320";"Pkw";"13.05.2026";"";"RF98000561711534 SecureGo plus IBAN: DE19700500000004055830 BIC: BYLADEMMXXX";"1201";"84,03";"0,00";"19,00";"1576"
"320";"Pkw";"31.05.2026";"1";"mtl. AfA: Mercedes 1, 1";"4832";"0,00";"534,83";"0,00";""
"320";"Pkw";"31.05.2026";"3";"mtl. AfA: Mercedes 2, 3";"4832";"0,00";"888,75";"0,00";""
"320";"Pkw";"09.06.2026";"";"Rechnung 100028 SecureGo plus IBAN: DE69305500000093732618 BIC: WELADEDNXXX";"1201";"1.682,66";"0,00";"19,00";"1576"
"320";"Pkw";"30.06.2026";"1";"mtl. AfA: Mercedes 1, 1";"4832";"0,00";"534,83";"0,00";""
"320";"Pkw";"30.06.2026";"3";"mtl. AfA: Mercedes 2, 3";"4832";"0,00";"888,75";"0,00";""
"320";"Pkw";"23.07.2026";"";"DJW1224 SecureGo plus IBAN: DE69305500000093732618 BIC: WELADEDNXXX";"1201";"536,30";"0,00";"19,00";"1576"
"320";"Pkw";"31.07.2026";"1";"mtl. AfA: Mercedes 1, 1";"4832";"0,00";"534,83";"0,00";""
"320";"Pkw";"31.07.2026";"3";"mtl. AfA: Mercedes 2, 3";"4832";"0,00";"888,75";"0,00";""
"490";"Sonstige Betriebs- und Geschäftsausstattung";"19.03.2026";"";"IKEA 321 DUESSELDORF DANKT 170318290168056271200003210 ELV65448866 17.03 18.29 Der Einzug erfolgt im Namen und auf Rechnung der PAYONE GmbH EREF: 17031829016805627120000321065448866 MREF: G544886676372603171829 CRED: DE16E0100000020245 IBAN: DE15302201900";"1201";"145,33";"0,00";"19,00";"1576"
"490";"Sonstige Betriebs- und Geschäftsausstattung";"12.05.2026";"";"D5QMBCSFWSWGMVF3";"1203";"405,03";"0,00";"19,00";"1576"
"490";"Sonstige Betriebs- und Geschäftsausstattung";"21.07.2026";"";"MEDIA MARKT SAGT DANKE. 180717070342082271200010790 ELV65421513 18.07 17.07 Der Einzug erfolgt im Namen und auf Rechnung der PAYONE GmbH EREF: 18071707034208227120001079065421513 MREF: G542151339172607181707 CRED: DE16E0100000020245 IBAN: DE96300500000001";"1201";"137,14";"0,00";"19,00";"1576"
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"02.01.2026";"";"23162005 Rate 31 271458 2025-12-29 10:08:22-1-7 EREF: 271458 2025-12-29 10:08:22-1-7 MREF: 23162005 CRED: DE52ZZZ00002462348 IBAN: DE97200301331454670207 BIC: VGAGDEHHXXX";"1201";"4.687,50";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"02.01.2026";"";"RATE PER 01.01.2026 EREF: 7275139995202601022026010101 MREF: 727513999520250701 CRED: DE63ZZZ00000056647 IBAN: DE19300209007275139995 BIC: CMCIDEDDXXX";"1201";"585,45";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"02.01.2026";"";"Teilzahlung Darlehen GB AG RECHN.ZINS 141,13 TILG./ENTG. 470,37 TILGUNG PER 31.12.2025 MREF: 8361300052D370626004041097014 CRED: DE8820000000193549 IBAN: DE74201304003100250368 BIC: GREBDEH1 ABWA: Witeczek.Julian";"1201";"467,21";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"05.01.2026";"";"REF-2BC68EFC83D4730ECF EREF: D-004NHNH54QY3 MREF: YYMEHQ5 CRED: DE5647000002197951 IBAN: FR7617118820080000001077102 BIC: GOAAFRP1";"1201";"2.454,80";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"08.01.2026";"";"Ref. 1117204407/71295065:ME-NF21:02.01.2026:503,25 EREF: 0372046354 MREF: 000002100877 CRED: DE14ZZZ00000194784 IBAN: DE22600800000960028000 BIC: DRESDEFF600";"1201";"374,52";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"09.01.2026";"";"23162005 Rate 32 271468 2026-01-05 08:57:27-1-7 EREF: 271468 2026-01-05 08:57:27-1-7 MREF: 23162005 CRED: DE52ZZZ00002462348 IBAN: DE97200301331454670207 BIC: VGAGDEHHXXX";"1201";"4.687,50";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"09.01.2026";"";"REF-327509DC1453C9439B EREF: D-004QDPX7SBES MREF: YYMEHQ5 CRED: DE5647000002197951 IBAN: FR7617118820080000001077102 BIC: GOAAFRP1";"1201";"2.454,80";"0,00";"0,00";""
"630";"Verbindlichkeiten gegenüber Kreditinstituten";"16.01.2026";"";"REF-4F2FB98B7F7E6E8DF5 EREF: D-004RTJTMHA5E MREF: YYMEHQ5 CRED: DE5647000002197951 IBAN: FR7617118820080000001077102 BIC: GOAAFRP1";"1201";"2.454,80";"0,00";"0,00";""
